threshold,accuracy,precision,recall,f1,false_negatives,false_positives,true_positives,true_negatives,alert_rate
0.3,0.6391675956893348,0.637131593767599,0.9973552747575668,0.7775486827033219,9,1933,3394,46,0.9897807506503159
0.4,0.65570419918246,0.6507195643718398,0.98325007346459,0.7831480397893505,57,1796,3346,183,0.955406911928651
0.5,0.6597918989223337,0.668236301369863,0.9174258007640317,0.773250773993808,281,1550,3122,429,0.8680787811222593
0.6,0.6350798959494611,0.6935700834005919,0.7575668527769615,0.7241573033707865,825,1139,2578,840,0.6906354515050167
0.7,0.5758082497212932,0.7471315092674315,0.497502203937702,0.5972834715117304,1710,573,1693,1406,0.42103307320698624
